name,prep_time,state,region,ingredients
balu_shahi,45,West Bengal,East,"Maida flour, yogurt, oil, sugar"
boondi,80,Rajasthan,West,"Gram flour, ghee, sugar"
gajar_ka_halwa,15,Punjab,North,"Carrots, milk, sugar, ghee, cashews, raisins"
ghevar,15,Rajasthan,West,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
gulab_jamun,15,West Bengal,East,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
imarti,10,West Bengal,East,"Sugar syrup, lentil flour"
jalebi,10,Uttar Pradesh,North,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
kaju_katli,10,-1,-1,"Cashews, ghee, cardamom, sugar"
kalakand,20,West Bengal,East,"Milk, cottage cheese, sugar"
kheer,10,-1,-1,"Milk, rice, sugar, dried fruits"
laddu,10,-1,-1,"Gram flour, ghee, sugar"
lassi,5,Punjab,North,"Yogurt, milk, nuts, sugar"
nankhatai,20,-1,-1,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
petha,10,Uttar Pradesh,North,"Firm white pumpkin, sugar, kitchen lime, alum powder"
phirni,30,Odisha,East,"Rice, sugar, nuts"
rabri,10,Uttar Pradesh,North,"Condensed milk, sugar, spices, nuts"
sheera,10,Maharashtra,West,"Semolina, ghee, nuts, milk"
singori,10,Uttarakhand,North,"Khoa, coconut, molu leaf"
sohan_halwa,10,Uttar Pradesh,North,"Corn flour, ghee, dry fruits"
sohan_papdi,15,Maharashtra,West,"Gram flour, ghee, sugar, milk, cardamom"
chhena_jalebi,10,Odisha,East,"Chhena, sugar, ghee"
chhena_kheeri,15,Odisha,East,"Chhena, sugar, milk"
chhena_poda,10,Odisha,East,"Sugar, chenna cheese"
cham_cham,40,West Bengal,East,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
kheer_sagar,25,Odisha,East,"Chenna, condensed milk, sugar, saffron, cardamom"
ledikeni,45,West Bengal,East,"Chhena, sugar, ghee"
lyangcha,20,Assam,North East,"Flour, fried milk power, sugar syrup"
malapua,10,Bihar,North,"Yoghurt, refined flour, ghee, fennel seeds"
mihidana,15,West Bengal,East,"Besan flour, sugar, ghee"
misti_doi,480,West Bengal,East,"Milk, jaggery"
pantua,45,West Bengal,East,"Chhena, sugar, ghee, flour"
pithe,15,Assam,North East,"Rice flour, wheat flour"
rasabali,15,Odisha,East,"Chenna, sweetened milk"
ras_malai,180,West Bengal,East,"Chhena, reduced milk, pistachio"
rasgulla,10,West Bengal,East,"Chhena, sugar, cardamom"
sandesh,30,West Bengal,East,"Milk, sugar, saffron, cardamom"
adhirasam,10,West Bengal,East,"Rice flour, jaggery, ghee, vegetable oil, elachi"
ariselu,15,Andhra Pradesh,South,"Rice flour, jaggery, ghee"
bandar_laddu,5,Andhra Pradesh,South,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar"
chikki,10,Maharashtra,West,"Peanuts, jaggery"
dharwad_pedha,20,Karnataka,South,"Milk, Sugar, Dharwadi buffalo milk"
double_ka_meetha,20,Telangana,South,"Loaf bread, milk"
gavvalu,10,Andhra Pradesh,South,"Rice flour, sugar, salt, ghee, semolina"
kakinada_khaja,10,Andhra Pradesh,South,"Wheat flour, sugar"
kuzhi_paniyaram,10,Kerala,South,"Black lentils, rice"
mysore_pak,5,Karnataka,South,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee"
obbattu_holige,180,Karnataka,South,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom"
palathalikalu,10,Andhra Pradesh,South,"Rice flour, milk"
poornalu,240,Andhra Pradesh,South,"Chana dal, jaggery"
pongal,5,Tamil Nadu,South,"Rice, jaggery, cashews, ghee"
pootharekulu,10,Andhra Pradesh,South,"Rice flour, powdered sugar, ghee"
qubani_ka_meetha,10,Telangana,South,"Apricots, sugar syrup"
sheer_korma,10,Telangana,South,"Vermicelli pudding, milk"
unni_appam,10,Tamil Nadu,South,"Rice flour, banana, jaggery, coconut"
kajjikaya,40,Andhra Pradesh,South,"Rice flour, jaggery, coconut"
anarsa,10,Maharashtra,West,"Rice flour, jaggery, khus-khus seeds"
basundi,10,Gujarat,West,"Sugar, milk, nuts"
dhondas,10,Maharashtra,West,"Cucumber, rava"
doodhpak,10,Gujarat,West,"Milk, rice, sugar, dry fruits"
mahim_halwa,10,Maharashtra,West,"Semolina, sugar"
modak,10,Maharashtra,West,"Rice flour, coconut, jaggery "
shankarpali,10,Maharashtra,West,"Sugar, ghee, maida flour, semolina"
shrikhand,10,Maharashtra,West,"Curd, sugar, saffron, cardamom"
sutar_feni,15,Maharashtra,West,"Maida, sugar, ghee"
maach_jhol,10,Assam,North East,"Fish, potol, tomato, chillies, ginger, garlic"
pork_bharta,15,Tripura,North East,"Boiled pork, onions, chillies, ginger and garlic"
chak_hao_kheer,240,Manipur,North East,"Rice, milk, sugar, cardamom"
galho,5,Nagaland,North East,"Rice, axone, salt, water, chillies, pork"
aloo_gobi,10,Punjab,North,"Cauliflower, potato, garam masala, turmeric, curry leaves"
aloo_tikki,5,Punjab,North,"Rice flour, potato, bread crumbs, garam masala, salt"
aloo_matar,5,Punjab,North,"Potato, peas, chillies, ginger, garam masala, garlic"
aloo_methi,10,Punjab,North,"Potato, fenugreek leaves, chillies, salt, oil"
aloo_shimla_mirch,10,Punjab,North,"Potato, shimla mirch, garam masala, amchur powder, salt"
bhatura,20,Punjab,North,"Chole, rava, yogurt, plain flour, baking soda"
bhindi_masala,20,Punjab,North,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder"
biryani,30,Telangana,South,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
butter_chicken,10,NCT of Delhi,North,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
chana_masala,20,Punjab,North,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
chapati,10,Maharashtra,West,"Whole wheat flour, olive oil, hot water, all purpose flour"
chicken_razala,10,West Bengal,East,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
chicken_tikka_masala,10,Punjab,North,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
chicken_tikka,120,Punjab,North,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
chole_bhature,20,Punjab,North,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
daal_baati_churma,10,Rajasthan,West,"Moong dal, masoor dal, chana dal, wheat flour, almond"
daal_puri,30,West Bengal,East,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
dal_makhani_,10,Punjab,North,"Red kidney beans, urad dal, cream, garam masala, chili powder"
dal_tadka,10,Punjab,North,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
dum_aloo,20,Jammu & Kashmir,North,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
poha,20,Maharashtra,West,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
fara,10,Chhattisgarh,Central,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
kachori,30,Uttar Pradesh,North,"Moong dal, rava, garam masala, dough, fennel seeds"
kadai_paneer,20,Punjab,North,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
kadhi_pakoda,10,Haryana,North,"Besan, garam masala powder, gram flour, ginger, curry leaves"
karela_bharta,20,Punjab,North,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
khichdi,40,-1,-1,"Moong dal, green peas, ginger, tomato, green chili"
kofta,20,Uttar Pradesh,North,"Paneer, potato, cream, corn flour, garam masala"
kulfi_falooda,45,-1,-1,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
lauki_ke_kofte,20,Uttar Pradesh,North,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
lauki_ki_subji,10,-1,-1,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
litti_chokha,45,Bihar,North,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
makki_di_roti_sarson_da_saag,25,Punjab,North,"Palak, makki atta, mustard green, garam masala, ginger"
misi_roti,30,Punjab,North,"Whole wheat flour, chickpea flour, green chilies"
mushroom_do_pyaza,10,Punjab,North,"Mushroom, malai, garam masala, ginger, capsicum"
mushroom_matar,10,Punjab,North,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
naan,60,Punjab,North,"Whole wheat flour, honey, butter, garlic"
navrattan_korma,25,Uttar Pradesh,North,"Green beans, potatoes, khus khus, low fat, garam masala powder"
palak_paneer,20,Punjab,North,"Cottage cheese, palak, cream, garam masala, butter"
paneer_butter_masala,20,Punjab,North,"Paneer, whipping cream, garam masala, cashew nuts, butter"
paneer_tikka_masala,20,Punjab,North,"Paneer, greek yogurt, tandoori masala, cream, bell pepper"
pani_puri,15,-1,-1,"Kala chana, mashed potato, boondi, sev, lemon"
panjeeri,10,Uttar Pradesh,,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina"
papad,5,-1,-1,"Urad dal, sev, lemon juice, chopped tomatoes"
paratha,15,Punjab,North,"Wheat flour, butter, potato, coriander"
pattor,10,Rajasthan,West,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
pindi_chana,500,Punjab,North,"Fennel, tea bags, tomato, kasuri methi, cinnamon"
rajma_chaval,15,-1,North,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
rongi,10,Punjab,North,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
samosa,30,-1,-1,"Potatoes, green peas, garam masala, ginger, dough"
sattu_ki_roti,10,Bihar,North,"Sattu, atta, dough, filling, mustard oil"
shahi_paneer,20,Punjab,North,"Cottage cheese, malai, garam masala, ginger, tomato"
shahi_tukra,10,Telangana,South,"Rose water, milk, white bread slices, saffron, almonds"
vegetable_jalfrezi,10,Punjab,North,"Baby corn, french beans, garam masala, ginger, carrot"
tandoori_chicken,240,Punjab,North,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
tandoori_fish_tikka,240,Punjab,North,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
attu,150,Andhra Pradesh,South,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
avial,30,Kerala,South,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
bisi_bele_bath,30,Karnataka,South,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
currivepillai_sadam_,10,Tamil Nadu,South,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
dosa,360,-1,South,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
idiappam,120,Tamil Nadu,South,"Rice flour, hot water, grated coconut"
idli,360,-1,South,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
kanji,10,Kerala,South,"Carrot, yellow mustard, red chilli, black salt"
kaara_kozhambu,15,Tamil Nadu,South,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
keerai_kootu,20,Tamil Nadu,South,"Moong dal, chana dal, spinach, urad dal, coconut oil"
keerai_masiyal,15,Tamil Nadu,South,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
keerai_sadam,10,Tamil Nadu,South,"Greens, tomato, mustard seeds, fenugreek seeds"
keerai_poriyal,20,Tamil Nadu,South,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
beef_fry,10,Kerala,South,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
kootu,10,Tamil Nadu,South,"Chana dal, urad dal, potato, beans, peas"
kos_kootu,10,Tamil Nadu,South,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
koshambri,10,Karnataka,South,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
kothamali_sadam,10,Tamil Nadu,South,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
kuzhakkattai,10,Tamil Nadu,South,"Sesame oil, raw rice, jaggery, grated coconut"
kuzhambu,5,Tamil Nadu,South,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
masala_dosa,360,-1,South,"Chana dal, urad dal, potatoes, idli rice, thick poha"
pachadi,10,-1,South,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
paniyaram,10,Tamil Nadu,South,"Yogurt, ginger, curry leaves, baking soda, green chilli"
papadum,5,Kerala,South,"Lentils, black pepper, vegetable oil"
paravannam,15,Kerala,South,"Raw rice,  jaggery, milk"
payasam,15,-1,South,"Rice, cashew nuts, milk, raisins, sugar"
paruppu_sadam,10,Tamil Nadu,South,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
pesarattu,120,Andhra Pradesh,South,"Green moong beans, rice flour"
poriyal,15,Tamil Nadu,South,"Chana dal, urad dal, beans, coconut, mustard"
puli_sadam,10,Tamil Nadu,South,"Urad dal, lemon, tamarind, cooked rice, curry leaves"
rasam,10,-1,South,"Tomato, curry leaves, garlic, mustard seeds, hot water"
puttu,495,Kerala,South,"Brown rice flour, sugar, grated coconut"
sambar,20,-1,South,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
sandige,120,Karnataka,South,"Thin rice flakes, black sesame seeds, curry leaves"
sevai,120,-1,South,"Sevai, parboiled rice, steamer"
thayir_sadam,10,Tamil Nadu,South,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
theeyal,15,Kerala,South,"Coconut, whole red beans, masala, sesame oil, tamarind"
uttapam,10,-1,South,"Chana dal, urad dal, thick poha, tomato, butter"
vada,15,-1,South,"Urad dal, ginger, curry leaves, green chilies, black pepper"
chicken_varuval,10,Tamil Nadu,South,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon"
upma,10,-1,-1,"Chana dal, urad dal, ginger, curry leaves, sugar"
amti,10,Maharashtra,West,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water"
zunka,10,Maharashtra,West,"Gram flour, mustard, garlic, turmeric, red chilli"
kolim_jawla,15,Maharashtra,West,"Baingan, fish, coconut oil, fresh coconut, ginger"
saath,20,Gujarat,West,"Urad dal, potatoes, wheat flour, sooji"
bajri_no_rotlo,10,Gujarat,West,"Wheat flour, pearl millet flour, hot water"
coconut_vadi,20,Maharashtra,West,"Condensed milk, mawa, desiccated coconut, almonds, cashews"
bhakri,20,Maharashtra,West,"Jowar flour, sesame seeds"
bombil_fry,15,Maharashtra,West,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies"
chakali,10,Maharashtra,West,"Rice flour, sesame, plain flour, turmeric, red chilli"
chevdo,20,Gujarat,West,"Citric acid, fry, raisins, sugar, chana daal"
chorafali,5,Gujarat,West,"Urad dal, bengal gram flour, dried mango, baking soda, black salt"
copra_paak,20,Gujarat,West,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
daal_dhokli,20,Gujarat,West,"Whole wheat flour, dal, kokum, gur, bengal gram flour"
kutchi_dabeli,30,Gujarat,West,"Pav, aloo, peanut, pomegranate, star anise"
dahi_vada,30,Maharashtra,West,"Urad dal, bhuna chana, garam masala, dates, tamarind"
dalithoy,5,Maharashtra,West,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
dhokla,10,Gujarat,West,"Rava, coconut, gram flour, mustard, sesame"
dudhi_halwa,15,Gujarat,West,"Bottle gourd, green, raisins, sugar, clarified butter"
gatta_curry,10,Rajasthan,West,"Yogurt, besan, sauce, garam masala powder, gram flour"
gud_papdi,10,Gujarat,West,"Wheat flour, jaggery, clarified butter, sliced almonds"
ghooghra,15,Gujarat,West,"Dry fruits, semolina, all purpose flour"
handwo,20,Gujarat,West,"Bottle gourd, chana dal, cabbage, urad dal, toor dal"
halvasan,15,Gujarat,West,"Whole wheat rava, chia seed, lemon, edible gum, litre milk"
jeera_aloo,10,Gujarat,West,"Green chilies, lemon juice, chili powder, boiled potatoes"
kansar,10,Gujarat,West,"Wheat flour, cashews, rapeseed oil"
keri_no_ras,10,Gujarat,West,"Mango, sugar"
khakhra,20,Gujarat,West,"Whole wheat flour, low fat, bengal gram flour"
khandvi,20,Gujarat,West,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
kombdi_vade,10,Maharashtra,West,"Rice flour, urad dal, wheat flour, gram flour, turmeric"
laapsi,10,Madhya Pradesh,Central,"Cinnamon, jaggery, clarified butter, dry roasted"
koshimbir,10,Maharashtra,West,"Cucumber, carrot, tomatoes, cilantro"
methi_na_gota,15,Gujarat,West,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves"
mohanthal,5,Gujarat,West,"Rose water, pistachio, badam, bengal gram flour, saffron"
muthiya,15,Gujarat,West,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
patra,10,Gujarat,West,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
pav_bhaji,20,Maharashtra,West,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
puri_bhaji,10,Maharashtra,West,"Aloo, urad dal, mustard, ginger, curry leaves"
sabudana_khichadi,70,Maharashtra,West,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
sev_khamani,20,Gujarat,West,"Khaman, pomegranate, sev, powdered sugar, garlic"
sev_tameta,20,Gujarat,West,"Sev, ginger, tomato, sugar"
namakpara,10,Gujarat,West,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
sukhdi,10,Maharashtra,West,"Whole wheat flour, gur, clarified butter"
surnoli,60,Maharashtra,West,"Rice flakes, yogurt, raw rice, jaggery, grated coconut"
thalipeeth,25,Maharashtra,West,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
undhiyu,25,Gujarat,West,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
veg_kolhapuri,20,Maharashtra,West,"Gobi, potato, beans, khus khus, coconut"
vindaloo,10,Goa,West,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
lilva_kachori,30,Gujarat,West,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
mag_dhokli,15,Gujarat,West,"Moong beans, jaggery, red chillies, oil, salt"
khichu,5,Gujarat,West,"Rice flour, sesame seeds, baking soda, peanut oil"
thepla,15,Gujarat,West,"Chickpea flour, methi leaves, jowar flour, wheat flour"
farsi_puri,15,Gujarat,West,"Semolina, clarified butter, oil, white flour, black pepper"
khaman,10,Gujarat,West,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
turiya_patra_vatana_sabji,35,Gujarat,West,"Ridge gourd, baking soda, sugar, grated coconut, peas"
churma_ladoo,12,Rajasthan,West,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
cheera_doi,15,West Bengal,East,"Rice, mango, curd"
gheela_pitha,10,Assam,North East,"Sticky rice, rice flour, jaggery, orange rind"
khar,10,Assam,North East,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
kumol_sawul,15,Assam,North East,"Rice, eggs, carrot, beetroot"
luchi,20,West Bengal,East,"Maida, vegetable oil"
alu_pitika,5,Assam,North East,"Potatoes, mustard oil, fish, green chillies"
masor_tenga,15,Assam,North East,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
bengena_pitika,15,Assam,North East,"Brinjal, onions, salt, sesame seeds, coriander"
bilahi_maas,10,Assam,North East,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
black_rice,15,Manipur,North East,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
bora_sawul,15,Assam,North East,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
brown_rice,15,-1,-1,"Brown rice, soy sauce, olive oil"
chingri_malai_curry,10,West Bengal,East,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
goja,20,West Bengal,East,"Baking soda, clarified butter, oil, all purpose flour"
hando_guri,15,Assam,North East,"Jaggery, raisins"
haq_maas,20,Assam,North East,"Lamb, garam masala powder, curd, turmeric, bay leaf"
chingri_bhape,15,West Bengal,East,"Coconut, prawns, curd, mustard seed, green chili"
kabiraji,15,West Bengal,East,"Fish fillet, besan, lemon, mint, ginger"
khorisa,15,Assam,North East,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
koldil_chicken,15,Assam,North East,"Banana flower, chicken, green chili, mustard oil, lemon juice"
konir_dom,15,Assam,North East,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
koldil_duck,15,Assam,North East,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
masor_koni,15,Assam,North East,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
mishti_chholar_dal,10,West Bengal,East,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
pakhala,15,Odisha,East,"Curd, cooked rice, curry leaves, dry chilli"
pani_pitha,10,Assam,North East,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
payokh,15,Assam,North East,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
prawn_malai_curry,15,West Bengal,East,"Coconut milk, prawns, garlic, turmeric, sugar"
red_rice,15,-1,-1,"Red pepper, red onion, butter, watercress, olive oil"
shukto,10,West Bengal,East,"Green beans, bitter gourd, ridge gourd, banana, brinjal"
til_pitha,5,Assam,North East,"Glutinous rice, black sesame seeds, gur"
bebinca,20,Goa,West,"Coconut milk, egg yolks, clarified butter, all purpose flour"
shufta,15,Jammu & Kashmir,North,"Cottage cheese, dry dates, dried rose petals, pistachio, badam"
mawa_bati,20,Madhya Pradesh,Central,"Milk powder, dry fruits, arrowroot powder, all purpose flour"
pinaca,15,Goa,West,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
dal_makhani,100,Punjab,North,"lentil daal, water, tomato puree,salt, capsicum, garam masala,turmeric,oil,cumin seeds,onion"
muruku,10,Karnataka,South,"Rice Flour, Oil , Ajwain, Water, Chilli Power, asafoetida"
puliogare,10,Karnataka,South,"Tamarind Paste, Chilli, Pepper, Salt, Oil, Rice"